CustomerID,Recency,Frequency,Monetary,AOV,Total_Quantity,Days_Since_First,R_Score,F_Score,M_Score,RFM_Score,RFM_Value,Customer_Segment,Cluster,Cluster_Name,Recency_Category,Frequency_Category,Monetary_Category,Avg_Order_Value,Customer_Lifetime,Purchase_Intensity
10014.0,7,6,454.86,75.81,18,360,5,4,3,543,12,Loyal Customers,0,Regular Customers,Very_Recent,High,Medium_Value,75.81,187,11.711229946524064
10015.0,49,5,555.94,111.18800000000002,22,329,3,3,4,334,10,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,111.18800000000002,199,9.170854271356784
10016.0,31,4,379.05,94.7625,15,260,4,2,2,422,8,At Risk,2,Occasional Customers,Recent,Medium,Medium_Value,94.7625,151,9.66887417218543
10017.0,137,8,909.72,113.715,36,359,1,5,5,155,11,Loyal Customers,1,VIP Customers,Moderate,High,High_Value,113.715,377,7.745358090185675
10018.0,61,5,480.13,96.026,19,357,3,3,3,333,9,Potential Loyalists,0,Regular Customers,Recent,Medium,Medium_Value,96.026,211,8.649289099526067
10019.0,23,4,454.86,113.715,18,308,4,2,3,423,9,Potential Loyalists,2,Occasional Customers,Very_Recent,Medium,Medium_Value,113.715,143,10.20979020979021
10020.0,5,3,328.51,109.50333333333333,13,101,5,1,2,512,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,109.50333333333333,95,11.526315789473685
10021.0,4,6,631.75,105.29166666666667,25,320,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,105.29166666666667,184,11.902173913043477
10022.0,5,6,808.64,134.77333333333334,32,347,5,4,5,545,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,134.77333333333334,185,11.837837837837837
10023.0,159,2,176.89,88.445,7,340,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Moderate,Low,Medium_Value,88.445,219,3.3333333333333335
10024.0,18,6,530.67,88.445,21,315,4,4,3,443,11,Loyal Customers,0,Regular Customers,Very_Recent,High,High_Value,88.445,198,11.06060606060606
10025.0,36,3,303.24,101.08,12,312,4,1,2,412,7,At Risk,2,Occasional Customers,Recent,Medium,Medium_Value,101.08,126,8.69047619047619
10026.0,11,7,606.48,86.64,24,355,5,5,4,554,14,Champions,0,Regular Customers,Very_Recent,High,High_Value,86.64,221,11.56108597285068
10027.0,104,3,328.51,109.50333333333333,13,242,2,1,2,212,5,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,109.50333333333333,194,5.644329896907216
10028.0,103,8,909.72,113.715,36,351,2,5,5,255,12,Loyal Customers,1,VIP Customers,Moderate,High,High_Value,113.715,343,8.513119533527696
10029.0,28,9,783.37,87.0411111111111,31,282,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,87.0411111111111,298,11.023489932885907
10030.0,282,2,227.43,113.715,9,353,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,113.715,342,2.134502923976608
10031.0,189,6,530.67,88.445,21,345,1,4,3,143,8,At Risk,0,Regular Customers,Old,High,High_Value,88.445,369,5.9349593495934965
10032.0,60,7,859.18,122.74,34,284,3,5,5,355,13,Champions,1,VIP Customers,Recent,High,High_Value,122.74,270,9.462962962962964
10033.0,82,4,404.32,101.08,16,352,2,2,2,222,6,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,101.08,202,7.227722772277229
10034.0,29,5,480.13,96.026,19,266,4,3,3,433,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,Medium_Value,96.026,179,10.195530726256983
10035.0,7,6,581.21,96.86833333333334,23,260,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,96.86833333333334,187,11.711229946524064
10036.0,16,3,379.05,126.35000000000001,15,181,4,1,2,412,7,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,126.35000000000001,106,10.330188679245284
10037.0,8,2,151.62,75.81,6,89,5,1,1,511,7,At Risk,2,Occasional Customers,Very_Recent,Low,Medium_Value,75.81,68,10.735294117647058
10038.0,9,1,25.27,25.27,1,9,5,1,1,511,7,At Risk,2,Occasional Customers,Very_Recent,Low,Low_Value,25.27,39,9.358974358974358
10039.0,73,8,732.83,91.60375,29,266,2,5,5,255,12,Loyal Customers,1,VIP Customers,Recent,High,High_Value,91.60375,313,9.329073482428115
10040.0,5,7,884.45,126.35000000000001,35,345,5,5,5,555,15,Champions,1,VIP Customers,Very_Recent,High,High_Value,126.35000000000001,215,11.883720930232558
10041.0,218,3,252.7,84.23333333333333,10,283,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Medium,Medium_Value,84.23333333333333,308,3.5551948051948052
10042.0,219,2,151.62,75.81,6,255,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,75.81,279,2.6164874551971327
10043.0,68,4,480.13,120.0325,19,324,2,2,3,223,7,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,120.0325,188,7.76595744680851
10044.0,31,7,707.56,101.08,28,310,4,5,5,455,14,Champions,1,VIP Customers,Recent,High,High_Value,101.08,241,10.601659751037346
10045.0,35,5,657.02,131.404,26,182,4,3,4,434,11,Loyal Customers,0,Regular Customers,Recent,Medium,High_Value,131.404,185,9.864864864864865
10046.0,38,5,505.4,101.08,20,314,3,3,3,333,9,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,101.08,188,9.707446808510639
10047.0,27,4,429.59,107.3975,17,259,4,2,3,423,9,Potential Loyalists,2,Occasional Customers,Very_Recent,Medium,Medium_Value,107.3975,147,9.931972789115646
10048.0,69,5,581.21,116.242,23,285,2,3,4,234,9,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,116.242,219,8.333333333333334
10049.0,38,4,454.85999999999996,113.71499999999999,18,311,3,2,3,323,8,At Risk,2,Occasional Customers,Recent,Medium,Medium_Value,113.71499999999999,158,9.240506329113924
10050.0,25,3,227.43,75.81,9,288,4,1,1,411,6,Cannot Lose Them,2,Occasional Customers,Very_Recent,Medium,Medium_Value,75.81,115,9.521739130434783
10051.0,24,4,303.24,75.81,12,255,4,2,2,422,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,75.81,144,10.13888888888889
10052.0,11,7,606.48,86.64,24,288,5,5,4,554,14,Champions,0,Regular Customers,Very_Recent,High,High_Value,86.64,221,11.56108597285068
10053.0,52,3,303.24,101.08,12,82,3,1,2,312,6,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,101.08,142,7.711267605633803
10054.0,55,5,530.67,106.13399999999999,21,362,3,3,3,333,9,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,106.13399999999999,205,8.902439024390244
10055.0,23,7,758.1,108.3,30,341,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,108.3,233,10.965665236051501
10056.0,13,6,657.02,109.50333333333333,26,324,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,109.50333333333333,193,11.347150259067357
10057.0,29,6,808.64,134.77333333333334,32,258,4,4,5,445,13,Champions,1,VIP Customers,Very_Recent,High,High_Value,134.77333333333334,209,10.478468899521532
10058.0,33,4,429.59000000000003,107.39750000000001,17,232,4,2,3,423,9,Potential Loyalists,2,Occasional Customers,Recent,Medium,Medium_Value,107.39750000000001,153,9.542483660130719
10060.0,2,6,606.48,101.08,24,349,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,101.08,182,12.032967032967033
10061.0,120,4,404.32,101.08,16,271,1,2,2,122,5,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,101.08,240,6.083333333333334
10062.0,107,2,202.16,101.08,8,352,2,1,1,211,4,Lost Customers,2,Occasional Customers,Moderate,Low,Medium_Value,101.08,167,4.37125748502994
10063.0,4,5,682.29,136.458,27,227,5,3,4,534,12,Loyal Customers,0,Regular Customers,Very_Recent,Medium,High_Value,136.458,154,11.85064935064935
10064.0,23,3,227.43,75.81,9,289,4,1,1,411,6,Cannot Lose Them,2,Occasional Customers,Very_Recent,Medium,Medium_Value,75.81,113,9.690265486725664
10065.0,129,4,328.51,82.1275,13,234,1,2,2,122,5,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,82.1275,249,5.863453815261044
10066.0,27,5,480.13,96.026,19,116,4,3,3,433,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,Medium_Value,96.026,177,10.310734463276836
10067.0,91,4,454.85999999999996,113.71499999999999,18,224,2,2,3,223,7,At Risk,2,Occasional Customers,Moderate,Medium,Medium_Value,113.71499999999999,211,6.919431279620854
10068.0,69,8,758.1,94.7625,30,364,2,5,5,255,12,Loyal Customers,1,VIP Customers,Recent,High,High_Value,94.7625,309,9.449838187702266
10069.0,155,3,379.04999999999995,126.34999999999998,15,327,1,1,2,112,4,Lost Customers,3,At-Risk Customers,Moderate,Medium,Medium_Value,126.34999999999998,245,4.469387755102041
10070.0,81,6,581.21,96.86833333333334,23,338,2,4,4,244,10,Potential Loyalists,0,Regular Customers,Recent,High,High_Value,96.86833333333334,261,8.39080459770115
10071.0,39,6,581.21,96.86833333333334,23,343,3,4,4,344,11,Loyal Customers,0,Regular Customers,Recent,High,High_Value,96.86833333333334,219,10.0
10072.0,99,2,227.43,113.715,9,147,2,1,1,211,4,Lost Customers,2,Occasional Customers,Moderate,Low,Medium_Value,113.715,159,4.591194968553459
10073.0,16,4,227.43,56.8575,9,304,4,2,1,421,7,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,56.8575,136,10.735294117647058
10074.0,34,8,1036.07,129.50875,41,360,4,5,5,455,14,Champions,1,VIP Customers,Recent,High,Premium,129.50875,274,10.656934306569342
10075.0,4,7,783.37,111.91,31,314,5,5,5,555,15,Champions,1,VIP Customers,Very_Recent,High,High_Value,111.91,214,11.939252336448597
10076.0,27,5,454.86,90.97200000000001,18,283,4,3,3,433,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,Medium_Value,90.97200000000001,177,10.310734463276836
10077.0,93,4,454.86,113.715,18,234,2,2,3,223,7,At Risk,2,Occasional Customers,Moderate,Medium,Medium_Value,113.715,213,6.854460093896713
10078.0,46,3,227.43,75.81,9,77,3,1,1,311,5,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,75.81,136,8.051470588235293
10079.0,8,8,783.37,97.92125,31,318,5,5,5,555,15,Champions,1,VIP Customers,Very_Recent,High,High_Value,97.92125,248,11.774193548387098
10080.0,71,2,227.43,113.715,9,185,2,1,1,211,4,Lost Customers,2,Occasional Customers,Recent,Low,Medium_Value,113.715,131,5.572519083969465
10081.0,82,4,379.05,94.7625,15,135,2,2,2,222,6,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,94.7625,202,7.227722772277229
10082.0,4,4,328.51,82.1275,13,338,5,2,2,522,9,Potential Loyalists,2,Occasional Customers,Very_Recent,Medium,Medium_Value,82.1275,124,11.774193548387098
10083.0,175,3,379.04999999999995,126.34999999999998,15,282,1,1,2,112,4,Lost Customers,3,At-Risk Customers,Moderate,Medium,Medium_Value,126.34999999999998,265,4.132075471698113
10084.0,60,6,454.86,75.81,18,286,3,4,3,343,10,Potential Loyalists,0,Regular Customers,Recent,High,Medium_Value,75.81,240,9.125
10085.0,23,6,631.75,105.29166666666667,25,277,4,4,4,444,12,Loyal Customers,0,Regular Customers,Very_Recent,High,High_Value,105.29166666666667,203,10.788177339901477
10086.0,299,1,25.27,25.27,1,299,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Low_Value,25.27,329,1.109422492401216
10087.0,11,4,429.59000000000003,107.39750000000001,17,349,5,2,3,523,10,Potential Loyalists,2,Occasional Customers,Very_Recent,Medium,Medium_Value,107.39750000000001,131,11.14503816793893
10088.0,61,5,454.86,90.97200000000001,18,280,3,3,3,333,9,Potential Loyalists,0,Regular Customers,Recent,Medium,Medium_Value,90.97200000000001,211,8.649289099526067
10089.0,35,5,505.4,101.08,20,304,4,3,3,433,10,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,101.08,185,9.864864864864865
10090.0,38,6,783.37,130.56166666666667,31,328,3,4,5,345,12,Loyal Customers,0,Regular Customers,Recent,High,High_Value,130.56166666666667,218,10.045871559633028
10091.0,113,2,303.24,151.62,12,345,2,1,2,212,5,Cannot Lose Them,2,Occasional Customers,Moderate,Low,Medium_Value,151.62,173,4.219653179190751
10092.0,67,5,429.59000000000003,85.918,17,364,2,3,3,233,8,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,85.918,217,8.410138248847927
10093.0,16,4,353.78,88.445,14,308,4,2,2,422,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,88.445,136,10.735294117647058
10094.0,11,5,631.75,126.35,25,284,5,3,4,534,12,Loyal Customers,0,Regular Customers,Very_Recent,Medium,High_Value,126.35,161,11.335403726708075
10095.0,9,6,429.59,71.59833333333333,17,190,5,4,3,543,12,Loyal Customers,0,Regular Customers,Very_Recent,High,Medium_Value,71.59833333333333,189,11.587301587301587
10096.0,95,3,303.24,101.08,12,361,2,1,2,212,5,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,101.08,185,5.918918918918918
10097.0,12,3,328.51,109.50333333333333,13,327,5,1,2,512,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,109.50333333333333,102,10.735294117647058
10098.0,103,5,555.9399999999999,111.18799999999999,22,332,2,3,4,234,9,Potential Loyalists,0,Regular Customers,Moderate,Medium,High_Value,111.18799999999999,253,7.213438735177865
10099.0,114,4,454.86,113.715,18,205,2,2,3,223,7,At Risk,2,Occasional Customers,Moderate,Medium,Medium_Value,113.715,234,6.239316239316239
10100.0,39,6,581.2099999999999,96.86833333333333,23,281,3,4,4,344,11,Loyal Customers,0,Regular Customers,Recent,High,High_Value,96.86833333333333,219,10.0
10101.0,97,4,429.59,107.3975,17,324,2,2,3,223,7,At Risk,2,Occasional Customers,Moderate,Medium,Medium_Value,107.3975,217,6.728110599078341
10102.0,64,2,202.16,101.08,8,90,3,1,1,311,5,Cannot Lose Them,2,Occasional Customers,Recent,Low,Medium_Value,101.08,124,5.887096774193549
10103.0,14,3,353.78,117.92666666666666,14,176,5,1,2,512,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,117.92666666666666,104,10.528846153846153
10104.0,31,7,732.83,104.69000000000001,29,288,4,5,5,455,14,Champions,1,VIP Customers,Recent,High,High_Value,104.69000000000001,241,10.601659751037346
10105.0,325,1,75.81,75.81,3,325,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Low_Value,75.81,355,1.028169014084507
10106.0,69,5,480.13,96.026,19,341,2,3,3,233,8,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,96.026,219,8.333333333333334
10107.0,21,8,581.21,72.65125,23,350,4,5,4,454,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,72.65125,261,11.187739463601533
10108.0,45,8,1010.8,126.35,40,352,3,5,5,355,13,Champions,1,VIP Customers,Recent,High,Premium,126.35,285,10.24561403508772
10109.0,94,5,606.48,121.296,24,344,2,3,4,234,9,Potential Loyalists,0,Regular Customers,Moderate,Medium,High_Value,121.296,244,7.479508196721311
10110.0,309,1,101.08,101.08,4,309,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,101.08,339,1.0766961651917404
10111.0,214,3,303.24,101.08,12,335,1,1,2,112,4,Lost Customers,3,At-Risk Customers,Old,Medium,Medium_Value,101.08,304,3.601973684210526
10112.0,37,4,505.4,126.35,20,286,3,2,3,323,8,At Risk,0,Regular Customers,Recent,Medium,High_Value,126.35,157,9.299363057324841
10113.0,5,9,884.45,98.27222222222223,35,328,5,5,5,555,15,Champions,1,VIP Customers,Very_Recent,High,High_Value,98.27222222222223,275,11.945454545454545
10114.0,147,3,277.97,92.65666666666668,11,322,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Moderate,Medium,Medium_Value,92.65666666666668,237,4.620253164556962
10115.0,21,7,808.64,115.52,32,309,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,115.52,231,11.06060606060606
10116.0,83,3,353.78,117.92666666666666,14,258,2,1,2,212,5,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,117.92666666666666,173,6.329479768786127
10117.0,97,6,758.0999999999999,126.34999999999998,30,355,2,4,5,245,11,Loyal Customers,0,Regular Customers,Moderate,High,High_Value,126.34999999999998,277,7.906137184115524
10118.0,36,5,379.05,75.81,15,348,4,3,2,432,9,Potential Loyalists,0,Regular Customers,Recent,Medium,Medium_Value,75.81,186,9.811827956989246
10119.0,17,4,303.24,75.81,12,275,4,2,2,422,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,75.81,137,10.656934306569342
10120.0,2,10,985.53,98.553,39,294,5,5,5,555,15,Champions,1,VIP Customers,Very_Recent,High,High_Value,98.553,302,12.086092715231787
10121.0,100,7,505.4,72.2,20,363,2,5,3,253,10,Potential Loyalists,0,Regular Customers,Moderate,High,High_Value,72.2,310,8.241935483870968
10122.0,49,12,1187.69,98.97416666666668,47,345,3,5,5,355,13,Champions,1,VIP Customers,Recent,Very_High,Premium,98.97416666666668,409,10.709046454767726
10123.0,66,7,833.91,119.13,33,342,3,5,5,355,13,Champions,1,VIP Customers,Recent,High,High_Value,119.13,276,9.257246376811594
10124.0,56,3,303.24,101.08,12,359,3,1,2,312,6,Cannot Lose Them,2,Occasional Customers,Recent,Medium,Medium_Value,101.08,146,7.5
10125.0,23,9,1010.8,112.3111111111111,40,350,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,Premium,112.3111111111111,293,11.211604095563139
10126.0,129,4,480.13,120.0325,19,341,1,2,3,123,6,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,120.0325,249,5.863453815261044
10127.0,14,7,657.02,93.86,26,348,5,5,4,554,14,Champions,0,Regular Customers,Very_Recent,High,High_Value,93.86,224,11.40625
10128.0,1,4,530.67,132.6675,21,129,5,2,3,523,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,High_Value,132.6675,121,12.066115702479339
10129.0,106,5,353.78,70.756,14,338,2,3,2,232,7,At Risk,2,Occasional Customers,Moderate,Medium,Medium_Value,70.756,256,7.12890625
10130.0,102,4,530.67,132.6675,21,200,2,2,3,223,7,At Risk,0,Regular Customers,Moderate,Medium,High_Value,132.6675,222,6.576576576576576
10131.0,33,4,429.59,107.3975,17,327,4,2,3,423,9,Potential Loyalists,2,Occasional Customers,Recent,Medium,Medium_Value,107.3975,153,9.542483660130719
10132.0,23,4,353.78,88.445,14,250,4,2,2,422,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,88.445,143,10.20979020979021
10133.0,254,2,151.62,75.81,6,268,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,75.81,314,2.3248407643312103
10134.0,161,3,303.24,101.08,12,339,1,1,2,112,4,Lost Customers,3,At-Risk Customers,Moderate,Medium,Medium_Value,101.08,251,4.362549800796813
10135.0,27,3,379.05,126.35000000000001,15,363,4,1,2,412,7,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,126.35000000000001,117,9.358974358974358
10136.0,21,8,960.26,120.0325,38,363,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,120.0325,261,11.187739463601533
10137.0,56,7,833.91,119.13,33,364,3,5,5,355,13,Champions,1,VIP Customers,Recent,High,High_Value,119.13,266,9.605263157894736
10138.0,29,6,657.02,109.50333333333333,26,297,4,4,4,444,12,Loyal Customers,0,Regular Customers,Very_Recent,High,High_Value,109.50333333333333,209,10.478468899521532
10139.0,4,6,682.29,113.71499999999999,27,333,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,113.71499999999999,184,11.902173913043477
10140.0,13,5,429.59000000000003,85.918,17,338,5,3,3,533,11,Loyal Customers,0,Regular Customers,Very_Recent,Medium,Medium_Value,85.918,163,11.196319018404909
10141.0,82,6,631.75,105.29166666666667,25,349,2,4,4,244,10,Potential Loyalists,0,Regular Customers,Recent,High,High_Value,105.29166666666667,262,8.358778625954198
10142.0,18,6,682.29,113.71499999999999,27,338,4,4,4,444,12,Loyal Customers,0,Regular Customers,Very_Recent,High,High_Value,113.71499999999999,198,11.06060606060606
10143.0,149,3,303.24,101.08,12,357,1,1,2,112,4,Lost Customers,3,At-Risk Customers,Moderate,Medium,Medium_Value,101.08,239,4.581589958158996
10144.0,51,5,379.05,75.81,15,290,3,3,2,332,8,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,75.81,201,9.079601990049753
10145.0,95,3,454.86,151.62,18,222,2,1,3,213,6,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,151.62,185,5.918918918918918
10146.0,93,2,252.7,126.35,10,334,2,1,1,211,4,Lost Customers,2,Occasional Customers,Moderate,Low,Medium_Value,126.35,153,4.771241830065359
10147.0,4,2,252.7,126.35,10,143,5,1,1,511,7,At Risk,2,Occasional Customers,Very_Recent,Low,Medium_Value,126.35,64,11.40625
10148.0,16,4,379.05,94.7625,15,265,4,2,2,422,8,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,94.7625,136,10.735294117647058
10149.0,262,2,227.43,113.715,9,344,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,113.715,322,2.2670807453416146
10150.0,300,2,151.62,75.81,6,325,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Medium_Value,75.81,360,2.0277777777777777
10151.0,158,3,454.86,151.62,18,331,1,1,3,113,5,Cannot Lose Them,3,At-Risk Customers,Moderate,Medium,Medium_Value,151.62,248,4.415322580645161
10152.0,102,5,530.67,106.13399999999999,21,360,2,3,3,233,8,At Risk,0,Regular Customers,Moderate,Medium,High_Value,106.13399999999999,252,7.242063492063491
10153.0,116,6,732.8299999999999,122.13833333333332,29,289,2,4,5,245,11,Loyal Customers,0,Regular Customers,Moderate,High,High_Value,122.13833333333332,296,7.398648648648648
10154.0,66,6,682.29,113.71499999999999,27,293,3,4,4,344,11,Loyal Customers,0,Regular Customers,Recent,High,High_Value,113.71499999999999,246,8.902439024390244
10155.0,80,3,202.16,67.38666666666667,8,342,2,1,1,211,4,Lost Customers,2,Occasional Customers,Recent,Medium,Medium_Value,67.38666666666667,170,6.4411764705882355
10156.0,110,6,505.4,84.23333333333333,20,364,2,4,3,243,9,Potential Loyalists,0,Regular Customers,Moderate,High,High_Value,84.23333333333333,290,7.551724137931035
10157.0,117,2,328.51,164.255,13,242,2,1,2,212,5,Cannot Lose Them,2,Occasional Customers,Moderate,Low,Medium_Value,164.255,177,4.124293785310734
10158.0,41,7,833.91,119.13,33,283,3,5,5,355,13,Champions,1,VIP Customers,Recent,High,High_Value,119.13,251,10.179282868525897
10159.0,80,10,1137.15,113.715,45,341,2,5,5,255,12,Loyal Customers,1,VIP Customers,Recent,High,Premium,113.715,380,9.605263157894738
10160.0,88,5,505.4,101.08,20,352,2,3,3,233,8,At Risk,0,Regular Customers,Recent,Medium,High_Value,101.08,238,7.668067226890757
10161.0,39,5,353.78,70.756,14,287,3,3,2,332,8,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,70.756,189,9.656084656084657
10162.0,151,4,454.86,113.715,18,363,1,2,3,123,6,Cannot Lose Them,3,At-Risk Customers,Moderate,Medium,Medium_Value,113.715,271,5.387453874538746
10163.0,15,5,555.9399999999999,111.18799999999999,22,176,5,3,4,534,12,Loyal Customers,0,Regular Customers,Very_Recent,Medium,High_Value,111.18799999999999,165,11.06060606060606
10165.0,88,6,581.21,96.86833333333334,23,268,2,4,4,244,10,Potential Loyalists,0,Regular Customers,Recent,High,High_Value,96.86833333333334,268,8.171641791044776
10166.0,14,5,379.05,75.81,15,321,5,3,2,532,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,Medium_Value,75.81,164,11.128048780487806
10167.0,21,8,581.21,72.65125,23,361,4,5,4,454,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,72.65125,261,11.187739463601533
10168.0,188,4,480.13,120.0325,19,359,1,2,3,123,6,Cannot Lose Them,3,At-Risk Customers,Old,Medium,Medium_Value,120.0325,308,4.740259740259741
10169.0,18,4,277.97,69.4925,11,336,4,2,1,421,7,At Risk,2,Occasional Customers,Very_Recent,Medium,Medium_Value,69.4925,138,10.579710144927537
10170.0,210,3,277.97,92.65666666666668,11,327,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Medium,Medium_Value,92.65666666666668,300,3.6500000000000004
10171.0,173,4,454.86,113.715,18,296,1,2,3,123,6,Cannot Lose Them,3,At-Risk Customers,Moderate,Medium,Medium_Value,113.715,293,4.982935153583617
10172.0,58,5,480.13,96.026,19,267,3,3,3,333,9,Potential Loyalists,0,Regular Customers,Recent,Medium,Medium_Value,96.026,208,8.774038461538462
10173.0,29,9,707.56,78.61777777777777,28,338,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,78.61777777777777,299,10.986622073578596
10174.0,27,7,808.64,115.52,32,240,4,5,5,455,14,Champions,1,VIP Customers,Very_Recent,High,High_Value,115.52,237,10.780590717299578
